id,Name,URL,Title,Country,Mountain Range,Height(m),Coordinates,Type,Views,Popularity,Number of Images,Number of Paths,Number of GPS Paths,Registration Book,Description
308,Zavetišče pod Ponco,https://www.hribi.net/gora/zavetisce_pod_ponco/1/1047,Zavetišče pod Ponco,Italija,Julijske Alpe,1657,"46,46638°N 13,6855°E",bivak,322575,75% (923. mesto),1,1,0,,"Opis bivaka: Na zahodni strani Male Rateške Ponce, v objemu gozdov se skriva majhna kamnita bajta, na podstrešju katere je urejeno zasilno zavetišče. Od zavetišča ob katerem je nekaj klopi in miz zaradi bližnjega gozda ni razgleda."
309,Lisc (Lisec),https://www.hribi.net/gora/lisc_lisec/1/3520,Lisc (Lisec),Slovenija,Julijske Alpe,1653,"46,24028°N 13,92782°E",vrh,6260,41% (2150. mesto),7,1,0,,"Lisc (ali Lisec) je s 1653 metri razgleden zelen vrh, ki se vzpenja južno od Spodnje Bohinjske doline, na katero se vključno z Bohinjskim jezerom odpirajo lepi panoramski razgledi. Čeprav je Lisc del Bohinjsko - Tolminskih gora in leži severno od Črne prsti, je bistveno manj obiskan. Orientacijsko najenostavnejši pristop je po grebenu po poti s Črne prsti (kakih 5 minut hoje zahodno od vrha Črne prsti se pot odcepi proti jugu v smeri planine Osredki in Lisca), številni možici pa lajšajo tudi pristop z Orožnove koče. Bujno rastje v poletju zakrije številne možice, zato je pot takrat lahko mestoma težje sledljiva."
310,Florjanka / Monte Florianca,https://www.hribi.net/gora/florjanka___monte_florianca/1/2797,Florjanka / Monte Florianca,Italija,Julijske Alpe,1653,"46,4853°N 13,5471°E","vrh, jezero",5930,40% (2168. mesto),5,2,0,,Florjanka je 1653 metrov visoka gora na italijanski strani Julijskih Alp. Na vrhu oz. malo pod njim se nahaja akumulacijsko jezero namenjeno zasneževanju smučišča. Z vrha je lep pogled na vrhove nad Kanalsko dolino in del Julijskih Alp.
311,Svinjak,https://www.hribi.net/gora/svinjak/1/419,Svinjak,Slovenija,Julijske Alpe,1653,"46,35041°N 13,61174°E",vrh,614609,96% (148. mesto),7,1,1,3,Svinjak se nahaja vzhodno od Bovške kotline. Kljub razmeroma nizki nadmorski višini je z vrha zelo lep razgled na gore nad Sočo in nad Koritnico. Vrh ima kar dve skrinjici z vpisno knjigo. Ena je nova in ima obliko Aljaževega stolpa.
312,Planina pod Mišelj vrhom,https://www.hribi.net/gora/planina_pod_miselj_vrhom/1/292,Planina pod Mišelj vrhom,Slovenija,Julijske Alpe,1645,"46,34973°N 13,84596°E","jezero, planina",390481,81% (690. mesto),11,7,1,,"Opis jezera: Planina stoji pod našimi najvišjimi vrhovi. Najbližji je seveda Mišelj vrh. Le nekaj deset metrov od planine je tudi jezero, ki v sušnih obdobjih presahne. Na planini je nekaj pastirskih hišk, ki pa propadajo."
313,Matajur,https://www.hribi.net/gora/matajur/1/747,Matajur,"Italija , Slovenija",Julijske Alpe,1642,"46,21211°N 13,52945°E","vrh, cerkev",721124,98% (83. mesto),16,13,4,8,"Matajur je razgledna gora, ki se nahaja na meji med Slovenijo in Italijo. Z vrha je lep razgled na Kobariški oz. Breginjski Stol za katerim levo od njega opazimo Karnijske Alpe in del zahodnih Julijcev, kjer kraljuje skupina Kanina. Na vzhodno stran pa opazimo Krn in greben Krnčice za katerim opazimo vrh Triglava. Proti jugovzhodu opazimo Golake, proti jugu pa Jadransko morje, kjer se lepo vidi pristanišče v Trstu. Na vrhu stoji manjša cerkev (kapela) in v njeni bližini razgledna plošča z vpisno skrinjico. Žig je nekoliko oddaljen od vrha in se nahaja na skali približno 10 m od vrha."
314,Gabrovec (Veliki Muzec),https://www.hribi.net/gora/gabrovec_veliki_muzec/1/1394,Gabrovec (Veliki Muzec),Slovenija,Julijske Alpe,1630,"46,28907°N 13,41061°E",vrh,304722,73% (998. mesto),4,1,0,,"Gabrovec (na zemljevidih tudi Veliki Muzec) je 1630 m visoka gora, ki se nahaja severozahodno od Breginja, najbolj zahodne vasi v Sloveniji. Z vrha se nam odpre lep pogled na Breginjski kot, Jadransko morje ter zahodne in osrednje Julijske Alpe."
315,Blejska koča na Lipanci,https://www.hribi.net/gora/blejska_koca_na_lipanci/1/76,Blejska koča na Lipanci,Slovenija,Julijske Alpe,1630,"46,3753°N 13,92753°E","koča, planina",770685,98% (61. mesto),18,5,1,20,"Opis koče: Blejska koča se nahaja ob robu razgledne planine Lipanca. Od koče, ki je odprta preko celega leta, se nam odpre lep razgled na Pokljuške gozdove ter vrhove (Mrežce in Lipanski vrh), ki obdajajo že omenjeno planino."
316,Planina Viševnik,https://www.hribi.net/gora/planina_visevnik/1/255,Planina Viševnik,Slovenija,Julijske Alpe,1625,"46,30592°N 13,81746°E","koča, planina",531382,92% (277. mesto),14,4,4,1,"Opis koče: Planina Viševnik je ena od številnih Fužinskih planin, kjer še vedno pasejo živino. Ima lep razgled na Ograde in ostale Fužinske vrhove. Ena od pastirskih koč na planini je preurejena v Bregarjevo zavetišče (v poletnem času služi kot manjša planinska koča)."
317,Bivak Dino Brollo,https://www.hribi.net/gora/bivak_dino_brollo/1/4233,Bivak Dino Brollo,Italija,Julijske Alpe,1621,"46,32193°N 13,29229°E","vrh, bivak",74,7% (3382. mesto),15,1,0,,"Bivak Bivacco Dino Brollo se nahaja na razglednem grebenu ob vrhu Monte Ruscie južno od glavnega grebena Muzcev. V bivaku so 4 ležišča, ima mizo ter klopi ter peč na drva. Miza in klopi se nahajajo tudi zunaj nad bivakom. Od bivaka je sicer zelo lep razgled predvsem na bližnji greben Muzcev ter ostale vrhove nad Tersko dolino."
318,Vošni vrh,https://www.hribi.net/gora/vosni_vrh/1/2138,Vošni vrh,Slovenija,Julijske Alpe,1621,"46,4128°N 13,9439°E",vrh,180998,60% (1464. mesto),2,1,0,1,"Vošni vrh je 1621 metrov visoka gora, ki se nahaja v grebenu gora, ki se začne pri Radovni in konča s Toscem. Sam vrh se sicer nahaja v gozdu, se nam pa s severnega predvrha odpre lep pogled na Karavanke in Kamniško Savinjske Alpe."
319,Tičarjev dom na Vršiču,https://www.hribi.net/gora/ticarjev_dom_na_vrsicu/1/262,Tičarjev dom na Vršiču,Slovenija,Julijske Alpe,1618,"46,43278°N 13,74439°E",koča,477801,89% (409. mesto),7,3,0,11,"Opis koče: Tičarjev dom na Vršiču se nahaja le nekaj metrov nad alpskim prelazom Vršič. Od doma, katerega opravlja PD Jesenice in ki je odprt v razširjeni poletni sezoni, se nam odpre lep pogled na Ajdovsko deklico, Prisank oz. Prisojnik, Prednje Robičje, Šitno glavo, Malo Mojstrovko ter kar nekaj vrhov nad dolino Trente."
320,Breški Jalovec / Punta di Montemaggiore,https://www.hribi.net/gora/breski_jalovec___punta_di_montemaggiore/1/1395,Breški Jalovec / Punta di Montemaggiore,Italija,Julijske Alpe,1613,"46,28461°N 13,36944°E",vrh,370803,79% (751. mesto),5,2,0,,"Breški Jalovec oz. po ital. Punta di Montemaggiore je 1613 m visoka gora, ki se nahaja nad izvirom reke Nadiže in sicer na italijanski strani najdaljšega grebena v Julijskih Alpah. Z vrha, na katerem je vpisna skrinjica, se nam odpre lep razgled na Jadransko morje, predgorje Julijskih Alp, zahodne in osrednje Julijske Alpe, ob lepem vremenu pa razgled seže vse do Dolomitov."
321,Muzec - Musc (Mali Muzec),https://www.hribi.net/gora/muzec_-_musc_mali_muzec/1/825,Muzec - Musc (Mali Muzec),Slovenija,Julijske Alpe,1612,"46,28734°N 13,41855°E",vrh,352936,77% (822. mesto),5,1,0,1,"Muzec oz. Musc (na zemljevidih tudi Mali Muzec) je 1612 m visoka gora, ki se nahaja severno od Breginjskega kota. Z vrha, na katerem je vpisna skrinjica in žig, se nam odpre lep razgled na Julijske Alpe in njihovo predgorje."
322,Slatnik (severozahodni vrh),https://www.hribi.net/gora/slatnik_severozahodni_vrh/1/290,Slatnik (severozahodni vrh),Slovenija,Julijske Alpe,1609,"46,23708°N 13,99341°E",vrh,467330,88% (437. mesto),9,5,0,4,"Slatnik je razgledna gora, ki se nahaja zahodno od smučišča Soriška planina. S travnatega vrha se nam odpre lep razgled na Škofjeloško in Cerkljansko hribovje, Julijce, Karavanke ter del Kamniško Savinjskih Alp."
323,Možic,https://www.hribi.net/gora/mozic/1/205,Možic,Slovenija,Julijske Alpe,1602,"46,24182°N 13,99482°E",vrh,599965,96% (160. mesto),11,8,4,4,"Možic je 1602 m visok vrh, ki se nahaja zahodno od Soriške planine. Ravno na najvišji točki vrha se nahaja star vojaški bunker na katerem je napisano ime vrha z višino. Z vrha, ki ima tudi vpisno skrinjico (ta je trenutno uničena 28.4.2010) in žig, se nam odpre lep pogled na verigo Spodnjih Bohinjskih gora, Triglavu, delu Karavank, Ratitovcu in Poreznu."
324,Planina za Migovcem,https://www.hribi.net/gora/planina_za_migovcem/1/1887,Planina za Migovcem,Slovenija,Julijske Alpe,1600,"46,2615°N 13,787°E",planina,233693,65% (1259. mesto),3,5,0,1,"Opis planine: Planina za Migovcem je že dolgo opuščena planina, ki se nahaja med Bohinjskim Migovcem (1901 m) in Mohorjem (1848 m). S planine, na kateri lahko opazimo ostanke stare karavle, se nam odpre lep razgled na Bohinjski Migovec, Podrto goro, Mohor, z nekoliko višjih delov planine pa tudi proti Pršivcu in Triglavu."
325,Slatnik (jugovzhodni vrh),https://www.hribi.net/gora/slatnik_jugovzhodni_vrh/1/2518,Slatnik (jugovzhodni vrh),Slovenija,Julijske Alpe,1597,"46,23455°N 13,99907°E",vrh,9244,43% (2083. mesto),3,5,0,6,"Slatnik (jugovzhodni vrh) je razgledna gora, ki se strmo dviga nad Baško grapo na eni strani ter zložneje spušča proti Soriški planini na drugi strani. Z vrha, na katerem je žig, se nam odpre lep razgled na okoliško hribovje."
326,Nemške glave,https://www.hribi.net/gora/nemske_glave/1/1498,Nemške glave,Italija,Julijske Alpe,1597,"46,40844°N 13,57477°E",vrh,305223,73% (996. mesto),2,1,0,,"Nemške glave so mejna gora med Slovenijo in Italijo z izhodiščem na mejnem prehodu Predel. Je izjemno razgledišče in hitro dostopna, zato je idealna v primeru vprašljivih vremenskih razmer, pomanjkanja časa ali preprosto takrat, ko se nam ne ljubi kam dlje."
327,Jerebikovec,https://www.hribi.net/gora/jerebikovec/1/394,Jerebikovec,Slovenija,Julijske Alpe,1593,"46,44318°N 13,95553°E","vrh, bivak",533822,92% (273. mesto),10,4,3,5,"Razgleden vrh, ki je rahlo poraščen se nahaja nad Mojstrano in Radovno. Z vrha je lep pogled proti Karavankam in goram nad dolino Vrat in Krmo. Na vrhu stoji manjši bivak, ki pa nima postelj. Ima pa prijetno zavetišče v primeru nevihte. V bivaku je tudi vpisna knjiga. P.S. Bivak razpada in ni več uporaben."
328,Lovska koča Berebica,https://www.hribi.net/gora/lovska_koca_berebica/1/3564,Lovska koča Berebica,Slovenija,Julijske Alpe,1590,"46,38603°N 13,72203°E","planina, sedlo",1940,30% (2532. mesto),7,1,0,,"Opis planine: Lovska koča Berebica se nahaja na Starem Utru nad Trento. Staro Utro je poznano predvsem po stari vojaški cesti, ki so jo zgradili po koncu soške fronte. Od lovske koče je sicer zelo lep razgled predvsem na bližnje vrhove v grebenu Veverice, v daljavi pa lahko vidimo tudi nekaj vrhov v Krnskem pogorju."
329,Bivak Stuparich,https://www.hribi.net/gora/bivak_stuparich/1/1338,Bivak Stuparich,Italija,Julijske Alpe,1587,"46,44486°N 13,44788°E",bivak,240409,66% (1238. mesto),6,2,0,,"Opis bivaka: Bivak Stuparich, ki ima šest ležišč se nahaja med dolino Zajzere in Montažem. Od bivaka se nam odpre lep razgled na okoliška ostenja zahodnih Julijcev."
330,Brinova glava,https://www.hribi.net/gora/brinova_glava/1/3568,Brinova glava,Slovenija,Julijske Alpe,1586,"46,42819°N 13,85417°E",vrh,2400,33% (2446. mesto),5,1,0,,Brinova glava je manj obiskan vrh nad dolino Vrat. S 1586 metrov visokega vrha na katerem je postavljena klopca je čudovit razgled proti Triglavu in ostalim bližnjim vrhovom nad dolino Vrat.
331,Šavnik,https://www.hribi.net/gora/savnik/1/437,Šavnik,Slovenija,Julijske Alpe,1574,"46,24208°N 13,98469°E",vrh,444805,86% (512. mesto),10,6,1,2,"Šavnik je travnat vrh, ki se nahaja med smučiščema Soriška planina in Kobla. Z vrha, ki ima vpisno skrinjico z žigom, se nam odpre lep razgled, ki seže od predalpskega hribovja do najvišjih vrhov Karavank in Julijskih Alp."
332,Grušnica,https://www.hribi.net/gora/grusnica/1/2632,Grušnica,Slovenija,Julijske Alpe,1570,"46,2391°N 13,7504°E",vrh,6970,41% (2129. mesto),8,6,0,,"Grušnica je 1570 metrov visok vrh, ki se nahaja med Čadrgom, dolino Tolminke in Tolminskimi Ravnami. Z vrha, ki se strmo spušča proti reki Tolminki, na ostale strani pa je manj strm, se nam odpre lep pogled na vrhove, ki se dvigajo nad Tolminko in Zadlaščico, lepo pa se vidi tudi predalpsko hribovje."
333,Višarska planina / Malga di Lussari,https://www.hribi.net/gora/visarska_planina___malga_di_lussari/1/822,Višarska planina / Malga di Lussari,Italija,Julijske Alpe,1570,"46,47591°N 13,5335°E",planina,326978,75% (908. mesto),5,2,0,,"Opis planine: Višarska planina se nahaja pod Beraškim križem, vrhom v bližini Kamnitega lovca. S planine je lep pogled na omenjeno goro, pobočjem Višarij in Florjanko."
334,Visoki Mavrinc,https://www.hribi.net/gora/visoki_mavrinc/1/1267,Visoki Mavrinc,Slovenija,Julijske Alpe,1562,"46,45009°N 13,76556°E",vrh,538804,93% (263. mesto),3,2,0,8,"Visoki Mavrinc (Špica v Sedelcih) je 1562 m visoka gora, ki se nahaja med Suho, Malo in Veliko Pišnico. Z vrha na katerem stoji lesen križ in prijetna klopca, se nam odpre čudovit pogled na Frdamane police, Špik, Veliko Ponco, Škrlatico, Razor, Prisank, Vršič, Malo Mojstrovko, greben Robičja... Vrh ima vpisno skrinjico."
335,Planina v Lazu,https://www.hribi.net/gora/planina_v_lazu/1/243,Planina v Lazu,Slovenija,Julijske Alpe,1560,"46,32882°N 13,82552°E",planina,470657,88% (426. mesto),10,2,3,,"Opis planine: Planina se nahaja pod Debelim vrhom, Slatno, Kredo in Ogradi. S planine je zelo lep pogled na gore, ki jo obdajajo. Na planini je tudi studenček, ki planini daje vodo."
336,Planina Dedno Polje,https://www.hribi.net/gora/planina_dedno_polje/1/156,Planina Dedno Polje,Slovenija,Julijske Alpe,1560,"46,31511°N 13,81189°E",planina,472490,88% (420. mesto),12,3,0,,"Opis planine: Na planini, ki se nahaja v osrčju Fužinskih planin je postavljena sirarna katera je vključena v Bohinjsko sirarsko pot. V poletnem času je v koči možno kupiti kakšen mlečni izdelek. Poleg sirarne je na planini še kar nekaj pastirskih stanov, ki pa so po večini že predelani v nekakšne vikende. S planine je lep pogled proti Kredi in Kovačičevi glavi. Med obema omenjenima vrhovoma pa zadaj gleda skalnata Kopica."
337,Planina Lopučnica,https://www.hribi.net/gora/planina_lopucnica/1/606,Planina Lopučnica,Slovenija,Julijske Alpe,1558,"46,3158°N 13,76698°E",planina,250828,67% (1199. mesto),3,6,0,,"Opis planine: Lopučnica je planina, ki se nahaja pod planoto Zgornje Komne in nad Lopučniško dolino v bližini Triglavskih jezer. Planina Lopučnica spada med najbolj mrzle planine v Sloveniji, saj ob jasnih zimskih nočeh temperatura pogosto pade pod -30 stopinj celzija. Vzrok, zakaj se mraz spusti na to planino je sledeč. Planino obdajajo visoke gore, s katerih se mrzel zrak, ki je težji od toplega spušča navzdol. Ker je to najnižja točka v bližini se hladen zrak nabere na planini. Ob vetrovnih dneh je razlika manj očitna ali pa je sploh ni. Zanimivo je tudi, da na dnu planine uspeva le trava, višje kot smo pa tudi rušje, še višje pa tudi druga drevesa. S planine je lep razgled na okoliške vrhove, ki le redko dočakajo obisk."
338,Javoršček,https://www.hribi.net/gora/javorscek/1/1536,Javoršček,Slovenija,Julijske Alpe,1557,"46,3141°N 13,5976°E",vrh,397698,82% (663. mesto),5,2,1,,"Javoršček je 1557 m visoka gora, ki se nahaja jugovzhodno od Bovške kotline. S travnatega vrha, se nam odpre lep razgled na Bovško kotlino ter gore, ki se dvigujejo nad omenjeno kotlino."
339,Planina Klek,https://www.hribi.net/gora/planina_klek/1/341,Planina Klek,Slovenija,Julijske Alpe,1556,"46,39407°N 13,96161°E",planina,420326,84% (588. mesto),8,2,0,,"Opis planine: Planina Klek je še živa planina, ki se nahaja na severovzhodnem obrobju prostranih pokljuških gozdov. S planine, na kateri stoji nekaj pastirskih stanov ter lovska koča, se nam odpre lep razgled na Klečico in Debelo peč."
340,Mojčin dom na Vitrancu,https://www.hribi.net/gora/mojcin_dom_na_vitrancu/1/710,Mojčin dom na Vitrancu,Slovenija,Julijske Alpe,1555,"46,476°N 13,7598°E",koča,599240,96% (162. mesto),20,5,0,4,"Opis koče: Mojčin dom na Vitrancu se nahaja nekaj 10 metrov zahodno od nekdanjega in danes propadajočega Doma na Vitrancu. Mojčin dom je v jesenskem in zimskem času odprt od petka do nedelje, v poletnem času pa vsak dan. Razgled od doma je najlepši na vrhove, ki se dvigajo nad dolinama Male in Velike Pišnice, vidijo pa se tudi Jalovec, Karavanke, Krške Alpe, Visoke Ture, Ziljske Alpe, Karnijske Alpe in del zahodnih Julijskih Alp. 100 metrov vzhodno od koče, pri vzletišču za jadralne padalce, pa se odpre še lep pogled proti vzhodu, kjer lepo vidimo Kranjsko Goro in del Gornjesavske doline. V zimskem času je dostop do koče mogoč ob robu smučišča."
341,Planja (nad Mangartsko planino),https://www.hribi.net/gora/planja_nad_mangartsko_planino/1/2992,Planja (nad Mangartsko planino),Slovenija,Julijske Alpe,1553,"46,4263°N 13,6154°E",vrh,2520,33% (2435. mesto),4,1,0,,"Planja je 1553 metrov visok vrh, ki se nahaja med Mangartsko planino, Vrhom Ilovca in Strmcem na Predelu. Z vrha, ki ga prerašča ruševje, se nam odpre lep pogled proti Mangartu, Jalovcu in ostalim goram v porečju Koritnice."
342,Bivak pod Muzcem,https://www.hribi.net/gora/bivak_pod_muzcem/1/826,Bivak pod Muzcem,Slovenija,Julijske Alpe,1550,"46,28743°N 13,41393°E","bivak, sedlo",325033,75% (917. mesto),2,1,0,1,"Opis bivaka: Bivak pod Muzcem se nahaja na manjšem sedelcu med Gabrovcem in Muzcem. Bivak v katerem je možno tudi prenočiti (v njem so štiri ležišča ter tri zasilna) je bil zgrajen leta 2002 na pobudo razvojnega društva Breginjski kot. Od bivaka, se nam odpre lep pogled na Breginjski kot in Jadransko morje."
343,Lajnar,https://www.hribi.net/gora/lajnar/1/435,Lajnar,Slovenija,Julijske Alpe,1549,"46,23017°N 14,00632°E",vrh,509405,91% (321. mesto),8,5,4,5,"Lajnar je 1549 m visoka gora, ki se nahaja severno od Soriške planine. Z vrha, ki je tudi najvišja točka smučišča se nam odpre lep pogled na bližnji Dravh, Porezen, Črno prst, Triglav, Karavanke in Ratitovec. Vrh ima vpisno skrinjico in žig."
344,Planina v Plazeh,https://www.hribi.net/gora/planina_v_plazeh/1/1604,Planina v Plazeh,Slovenija,Julijske Alpe,1548,"46,352°N 13,7317°E","planina, sedlo",244442,66% (1224. mesto),5,2,0,,"Opis planine: Planina v Plazeh je opuščena planina, ki se nahaja severno od Dola pod plazmi, točneje med Glavo (1599 m) in Malo ter Veliko Tičarico. S planine, na kateri stoji koča, katero opravlja TNP (koča je zaprtega tipa, jo je pa možno najeti) se nam odpre lep razgled proti zahodu in jugu, kjer lepo vidimo greben od Špičja do Travnika."
345,Dravh,https://www.hribi.net/gora/dravh/1/434,Dravh,Slovenija,Julijske Alpe,1547,"46,23268°N 14,0138°E",vrh,433297,85% (545. mesto),5,3,2,3,"Dravh je 1547 m visok vrh, ki se nahaja med Sorico in Soriško planino. Z neporaščenega vrha se nam odpre lep razgled na Škofjeloško in Cerkljansko hribovje, Črno prst, Triglav, Karavanke in Ratitovec."
346,Dom na Matajure,https://www.hribi.net/gora/dom_na_matajure/1/1537,Dom na Matajure,Italija,Julijske Alpe,1545,"46,20924°N 13,52503°E",koča,366788,79% (764. mesto),2,2,0,3,"Opis koče: Dom na Matajure je slovenska planinska koča, ki se nahaja na italijanski strani Matajurja, točneje manj kot 100 višinskih metrov zahodno oz. jugozahodno od vrha. Od planinske koče, katero opravlja Planinska družina Benečije, se nam odpre lep razgled na Beneško Slovenijo ter jugozahodni del Julijskih Alp, kjer lepo vidimo večji del najdaljšega grebena v Julijskih Alpah (greben od Kobariškega oz. Breginjskega Stola, ki se prek Muzcev in Breškega Jalovca nadaljuje proti zahodu)."
347,Požar,https://www.hribi.net/gora/pozar/1/1815,Požar,Slovenija,Julijske Alpe,1543,"46,42047°N 13,88618°E",vrh,211451,63% (1351. mesto),1,2,0,2,"Požar je 1543 m visok neporaščen vrh, ki se nahaja v grebenu gora, ki se vleče od Mojstrane do Visoke Vrbanove špice. Z vrha, na katerem je večji možic, se nam odpre lep razgled na vrhove, ki obdajajo doline Vrata, Za Cmirom, Kot, Krma in Radovna."
348,Kravja Črna gora,https://www.hribi.net/gora/kravja_crna_gora/1/732,Kravja Črna gora,Slovenija,Julijske Alpe,1541,"46,2401°N 13,96039°E",vrh,308752,73% (981. mesto),3,1,0,,"Kravja Črna gora je vrh, ki ga obkrožajo smučarske proge smučišča Kobla. Z vrha na katerem stoji pretvornik je lep razgled po delu Spodnjih Bohinjskih gora in večjemu delu osrednjih Julijcev. Proti vzhodu opazimo Karavanke in daleč zadaj Kočno in Grintovec."
349,Visoka glava (na Matajurju),https://www.hribi.net/gora/visoka_glava_na_matajurju/1/2999,Visoka glava (na Matajurju),"Italija , Slovenija",Julijske Alpe,1540,"46,218°N 13,5255°E",vrh,2202,32% (2477. mesto),3,1,0,,"Visoka glava je 1540 metrov visok vrh, ki se nahaja na severozahodnem delu Matajurja. Z razglednega vrha se nam odpre lep pogled na vrh Matajur in velik del gora v porečju Nadiže in Soče."
350,Mesnovec,https://www.hribi.net/gora/mesnovec/1/1699,Mesnovec,Slovenija,Julijske Alpe,1538,"46,3372°N 13,9446°E",vrh,275009,70% (1104. mesto),1,1,0,,"Mesnovec je 1538 m visok vrh, ki se nahaja med Zgornjim Goreljkom in Rudnim poljem na Pokljuki. Z vrha, se nam odpre le nekaj razgleda proti najvišjim vrhovom Julijskih Alp, saj večji del razgleda onemogoča bližnje drevje. Za veliko lepši razgled, pa se je vredno povzpeti na 30 m nižji stranski vrh (severozahodni vrh). Z omenjenega vrha pa se nam odpre lep razgled na Triglav, Rjavino, vrhove nad Pokljuko ter del Karavank."
351,Planinska koča Merjasec,https://www.hribi.net/gora/planinska_koca_merjasec/1/587,Planinska koča Merjasec,Slovenija,Julijske Alpe,1535,"46,26335°N 13,83977°E",koča,441186,86% (524. mesto),6,3,0,4,"Opis koče: Planinska koča Merjasec se nahaja v bližini Ski hotela na Voglu le 100 m od zgornje postaje  nihalke. Kočo obdaja manjši pas gozda tako, da se moramo za razgled sprehoditi po bližnji okolici."
352,Viška planina,https://www.hribi.net/gora/viska_planina/1/1283,Viška planina,Italija,Julijske Alpe,1530,"46,41478°N 13,50194°E",planina,288962,71% (1057. mesto),4,1,0,,"Opis planine: Viška planina se nahaja severno od zgornjega dela Jezerske doline, pod najvišjimi vrhovi Viševe skupine. S planine do katere vodi za promet zaprta gozdna cesta, je lep razgled na okoliške vrhove."
353,Planina na Polju,https://www.hribi.net/gora/planina_na_polju/1/417,Planina na Polju,Slovenija,Julijske Alpe,1530,"46,2785°N 13,67646°E",planina,378776,80% (723. mesto),5,1,0,,"Opis planine: Planina na kateri še vedno pasejo živino se nahaja v osrčju Krnskega pogorja. Planina ima pastirski stan in studenček, ki je zelo uporaben. Uporabljajo ga lahko planinci pri vzponu na Krn in živali pri vsakodnevni paši. S planine je lep razgled na Krnsko pogorje."
354,Lovska koča na Glinu,https://www.hribi.net/gora/lovska_koca_na_glinu/1/2185,Lovska koča na Glinu,Slovenija,Julijske Alpe,1527,"46,2411°N 13,8684°E",vrh,162348,58% (1533. mesto),2,5,0,,"Lovska koča na Glinu se nahaja na razgledni vzpetini med planinama Suha in Poljana. Od koče se nam odpre lep pogled proti Triglavu in večini gora nad Bohinjem, lepo pa se vidi tudi del Spodnjih Bohinjskih gora."
355,Erjavčeva koča na Vršiču,https://www.hribi.net/gora/erjavceva_koca_na_vrsicu/1/272,Erjavčeva koča na Vršiču,Slovenija,Julijske Alpe,1525,"46,43921°N 13,74934°E",koča,501908,91% (342. mesto),8,2,0,6,"Opis koče: Erjavčeva koča na Vršiču na nahaja na kranjskogorski strani Vršiške ceste, na razgledni vzpetini nad bližnjim hudournikom. Od koče se nam ob lepem vremenu odpre lep razgled na vrhove nad dolino Pišnice in delu gora nad vršiško cesto."
356,Rifugio Cinque Punte,https://www.hribi.net/gora/rifugio_cinque_punte/1/1281,Rifugio Cinque Punte,Italija,Julijske Alpe,1520,"46,45894°N 13,59549°E",bivak,245529,67% (1215. mesto),4,1,0,,"Opis bivaka: Koča Cinque Punte se nahaja na vzhodni strani Rabeljskih špic. Od koče, katere del je preurejen v bivak se nam odpre lep pogled na bližnja ostenja Rabeljskih špic."
357,Dom na Komni,https://www.hribi.net/gora/dom_na_komni/1/102,Dom na Komni,Slovenija,Julijske Alpe,1520,"46,28446°N 13,77338°E",koča,850906,99% (45. mesto),10,12,2,16,"Opis koče: Dom, ki je odprt vse leto se nahaja na neizraziti razgledni vzpetini zahodno od Bohinjskega jezera. Dom je lepo viden z jezera in njegove bližnje okolice. Pred domom je razgledna terasa s katere se lepo vidijo Spodnje Bohinjske gore. Za ogled gora nad dolino Triglavskih jezer pa se moramo povzpeti na minuto oddaljeni hribček zraven razgledne terase. Ker je dom odprt vse leto je pot tudi pozimi shojena že dan ali dva po sneženju."
358,Planina Ravna,https://www.hribi.net/gora/planina_ravna/1/1527,Planina Ravna,Italija,Julijske Alpe,1515,"46,4851°N 13,467°E","bivak, planina, cerkev",183000,60% (1456. mesto),10,2,0,,"Opis bivaka: Planina Ravna je razgledna planina, ki se nahaja med Kanalsko dolino in Zajzero. S planine na kateri stoji kapela Zita ter le nekaj 10 m nižje tudi manjši bivak z dvema posteljama, se nam odpre lep razgled na vzhodne Karnijske Alpe, Dobrač ter del zahodnih Julijskih Alp."
359,Krevl,https://www.hribi.net/gora/krevl/1/731,Krevl,Slovenija,Julijske Alpe,1515,"46,23596°N 13,96068°E",vrh,306851,73% (991. mesto),10,8,0,1,"Krevl je 1515 m visok vrh, ki se nahaja južno od smučišča Kobla, točneje med vrhom Koble in Kravjo Črno goro. Z vrha, na katerem je žig in vpisna knjiga sosednje Koble, se nam odpre lep razgled na Škofjeloško in Cerkljansko hribovje, vrhove nad Soriško planino, del Črne prsti z njenima vzhodnima predvrhoma ter Triglavu in ostalim najvišjim vrhovom Julijskih Alp."
360,Koča pod Bogatinom,https://www.hribi.net/gora/koca_pod_bogatinom/1/198,Koča pod Bogatinom,Slovenija,Julijske Alpe,1513,"46,28775°N 13,76333°E","koča, planina",593919,95% (171. mesto),12,3,1,8,"Opis koče: Koča pod Bogatinom se nahaja na osrednjem delu planine na Kraju. Od koče, ki je odprta v poletni sezoni (občasno tudi v času turno smučarske sezone) se nam odpre lep razgled na vrhove nad planoto Komne."
361,Planina Za skalo,https://www.hribi.net/gora/planina_za_skalo/1/1059,Planina Za skalo,Slovenija,Julijske Alpe,1510,"46,31904°N 13,71744°E",planina,361720,78% (789. mesto),8,1,0,,"Opis planine: Planino na kateri se že dolgo časa ne pase živina je TNP pred leti obnovil. S planine je lep razgled predvsem proti Bavškemu Grintavcu. V bližnji okolici je precej vrhov na katere ne vodijo markirane poti, zato je planina tudi izhodišče za ljubitelje brezpotij."
